PEOE_VSA8,Disulfide,EState_VSA7,Atom1_ESP Pi (kcal/mol),c1ccncc1,Primary_arom_amine,NumAliphaticRings,PEOE_VSA12,NumSaturatedRings,Conju_LogP_Std,Alkene,Atom_PEOE-Charge_Sum,c1nc_nH_n1,c1c_nH_cn1,c1cc_nH_c1,c1ccc2_nH_ccc2c1,Atom_PEOE-Charge_Mean,c1ccc2cc3ccccc3cc2c1,c1cn_nH_c1,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,c1ccc2ncccc2c1,c1nncs1,Alkylchloride,Alkylbromide,Tertiary_aliph_amine,Aldehyde,Oxime,Acetal,Hemiacetal,Chloroalkene,Bromoalkene,Enol,Carboxylic_ester,Nitrile,Aryliodide,Azo,Phosphonic_acid_derivative,Sugar_pattern_combi,SMR_VSA2,Sulfon,Conju_PEOE-Charge_Std,Conju_MR_Std,Conju_MR_Delta,Tri_boron,c1ccc2sc_n+_c2c1,Amide,Conju_PEOE-Charge_Delta,VSA_EState1,Alkylfluoride,Trifluoromethyl,c1ccc2occcc2c1,Lactone,Oxoarene,Arylfluoride,Thioacetal,SlogP_VSA10,Iaverage / mA cm-2,Kappa1,Fun_MR_Min,Mid-Fun_LogP_Delta,Atom Number,Alcohol,Althoxyl,HOMO,EState_VSA4,Chi1v,Tertiary_arom_amine,Secondary_aliph_amine
4.776498962,0,0.0,13.207422,0,0,0,0.0,0,0.0,0,1.67e-16,0,0,0,0,9.25e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.398333333,0,0,0,0,0,0,0,0.0,142.3333333,8.451507375,5.2285,0.3808,18,0,0,-0.256346,11.33678588,3.894625533,0,0
0.0,0,17.51279691,12.774025,0,0,0,0.0,0,0.0,0,-4.16e-17,0,0,0,0,-4.63e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1.196759259,0,0,0,0,0,0,0,0.0,133.0,4.341812298,8.927,0.0,9,0,0,-0.237867,0.0,3.256801524,0,0
0.0,0,0.0,14.830128,0,0,0,0.0,0,0.0,0,2.78e-17,0,0,0,0,3.08e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,134.6666667,4.82,7.6358,0.8027,9,0,0,-0.263323,0.0,1.729967632,0,0
11.50570721,1,0.0,15.026383,0,0,0,0.0,0,0.0,0,-2.22e-16,0,0,0,0,-1.01e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,107.3333333,11.64,7.6358,1.7186,22,0,0,-0.240901,0.0,5.794619475,0,0
11.50570721,0,23.91392516,14.378481,0,0,0,0.0,0,0.0,2,6.94e-18,0,0,0,0,4.08e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04e-17,0.0,0.0,0,0,0,2.08e-17,0.0,0,0,0,0,0,0,0,0.0,88.0,6.83,10.197,0.0,17,0,0,-0.22645,11.50570721,3.365043969,0,0
5.38006277,0,0.0,12.069507,0,0,0,0.0,0,0.0,0,-1.67e-16,0,0,0,0,-1.51e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,147.3333333,5.24084507,7.8573,0.0,11,0,0,-0.274116,0.0,2.862425327,0,0
9.790966951,0,0.0,14.171186,0,0,0,0.0,0,0.0,0,-2.08e-16,0,0,0,0,-6.94e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,102.3333333,14.4882996,7.8573,1.8204,30,0,0,-0.235657,11.12690298,6.423170416,0,0
15.60550306,0,0.0,12.949498,0,1,0,0.0,0,0.0,0,-9.71e-17,0,0,0,0,-6.48e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5.687386275,117.0,6.775473441,4.7524,1.2881,15,0,0,-0.212777,4.895483476,3.264476109,0,0
4.895483476,0,0.0,14.260345,0,0,0,0.0,0,0.0,0,-1.11e-16,0,0,0,0,-6.94e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,80.33333333,7.150619469,7.8573,0.5372,16,0,0,-0.236027,4.895483476,3.169918541,0,0
11.37477255,0,0.0,21.720345,0,2,0,9.837253136,0,0.0,0,-2.22e-16,0,0,0,0,-7.66e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.0,24.34952759,0,0,0,0,0,0,0,11.37477255,97.0,11.47466815,4.7524,2.3742,29,0,0,-0.211209,0.0,6.444829551,0,0
18.14654075,0,18.32957771,14.522093,1,0,0,0.0,0,0.0,0,6.94e-17,0,0,0,0,4.63e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,118.6666667,5.633333333,8.986,0.556,15,0,0,-0.2435,11.3163051,3.062651404,0,0
12.39368714,1,0.0,15.788872,2,0,0,0.0,0,0.0,0,-1.94e-16,0,0,0,0,-6.94e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,95.0,14.35123584,7.591,2.2978,28,0,0,-0.246274,0.0,7.442535607,0,0
12.13273414,1,0.0,14.204405,0,0,0,0.0,0,0.0,0,1.53e-16,0,0,0,0,5.45e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,11.37477255,94.66666667,14.35123584,6.9944,3.3446,28,0,0,-0.244741,21.58779595,7.556955749,0,0
10.77548692,0,24.26546827,14.473768,0,0,0,0.0,0,0.0,0,2.78e-17,0,0,0,0,1.73e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,84.0,6.972866817,5.853,1.8144,16,0,0,-0.243797,10.58608481,3.696533667,0,0
21.1657395,1,48.53093655,13.201513,0,2,0,0.0,0,0.0,0,5.55e-17,0,0,0,0,1.98e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,11.37477255,85.66666667,11.23211375,4.7524,3.6706,28,0,0,-0.211203,21.1657395,6.956795679,0,0
5.752853607,0,18.19910121,14.448232,0,0,0,0.0,0,0.0,0,-3.47e-17,0,0,0,0,-2.17e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,97.0,5.702100396,8.986,1.161,16,0,0,-0.238844,5.752853607,3.212920291,0,0
0.0,0,0.0,19.68101,0,0,0,9.837253136,0,0.0,0,-1.11e-16,0,0,0,0,-4.44e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0.0,24.06759259,0,0,0,0,0,0,0,0.0,83.33333333,9.926624683,8.9198,1.5948,25,0,0,-0.267679,0.0,6.046112076,0,0
9.790966951,1,12.13273414,13.663008,0,0,0,0.0,0,0.0,0,1.39e-16,0,0,0,0,5.78e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,96.0,9.685764821,7.591,1.5948,24,0,0,-0.237072,0.0,6.546112076,0,0
6.066367068,0,29.77600755,15.882981,0,0,0,17.5719964,0,0.9617,0,-1.11e-16,0,0,0,0,-5.05e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314970426,14.8911,29.7822,0,1,0,0.629940853,2.853009259,0,0,0,0,0,0,0,0.0,131.6666667,11.13656968,7.6358,1.9234,22,0,0,-0.204303,10.21662063,4.726147273,0,0
34.57834124,1,24.26546827,14.323394,2,0,0,0.0,0,0.0,0,1.39e-17,0,0,0,0,6.31e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,111.3333333,9.551020408,7.591,0.9898,22,0,0,-0.252538,0.0,6.245574302,0,0
4.877147194,0,17.51279691,12.823732,0,0,0,0.0,0,1.0126,0,-1.94e-16,0,0,0,0,-1.3e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044273433,7.8926,15.7852,0,0,0,0.088546866,0.0,0,0,0,0,0,0,0,0.0,150.3333333,6.292399021,7.6358,2.0252,15,0,0,-0.241916,4.877147194,3.409658742,0,0
5.24993803,0,0.0,13.423698,0,0,1,0.0,1,0.0,0,3.47e-17,0,0,0,0,1.83e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,88.66666667,5.486054422,8.986,0.0,19,0,0,-0.23833,5.24993803,3.59109325,0,0
0.0,0,0.0,11.727479,0,0,1,0.0,1,0.0,0,2.78e-16,0,0,0,0,2.78e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,18.71527778,0,0,0,0,0,0,0,0.0,94.66666667,4.234744646,1.085,0.0,10,0,2,-0.299519,0.0,2.577350269,0,0
0.0,0,0.0,14.389348,0,0,1,0.0,1,0.0,0,-5.55e-17,0,0,0,0,-2.31e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.694398148,0,0,0,0,0,0,1,0.0,79.33333333,8.51523239,25.544,0.0,24,0,0,-0.219517,0.0,6.345623107,0,0
9.494044906,1,21.58779595,13.310148,0,0,0,0.0,0,0.0,0,2.08e-17,0,0,0,0,7.43e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.773703704,0,0,0,0,0,0,0,0.0,80.0,10.7,15.182,0.0,28,0,0,-0.223798,0.0,5.724744871,0,0
4.747022453,0,0.0,13.388496,0,0,0,0.0,0,0.0,0,-2.36e-16,0,0,0,0,-6.05e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.056319444,0,0,0,0,0,0,0,0.0,92.66666667,13.35,8.986,0.0,39,0,0,-0.232072,0.0,5.614196066,0,0
5.917906046,0,13.8474744,9.394585,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,89.66666667,5.89,0.0,0.0,15,0,0,-0.217332,0.0,2.344423243,0,0
0.0,0,0.0,9.79053,0,0,0,0.0,0,0.0,0,-3.05e-16,0,0,0,0,-3.39e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,130.3333333,3.89,0.0,0.0,9,0,0,-0.218642,0.0,1.40104757,0,0
10.49987606,0,13.8474744,13.877165,0,0,0,0.0,0,0.0,0,-1.21e-16,0,0,0,0,-7.59e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,96.0,6.7,8.986,0.0,16,0,0,-0.236683,0.0,3.03722721,0,0
9.790966951,1,0.0,13.423975,0,0,0,0.0,0,0.0,0,-2.78e-17,0,0,0,0,-9.25e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,103.0,11.62030784,7.591,1.4497,30,0,0,-0.23279,0.0,7.367479281,0,0
0.0,0,6.9237372,15.52818,0,0,0,10.02329115,0,0.0,0,5.55e-17,0,0,0,0,2.78e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,21.44389645,0,0,0,0,0,0,0,0.0,102.6666667,8.228716683,13.1072,0.0,20,0,0,-0.264394,5.563451492,4.640846422,0,0
17.90485078,0,6.9237372,12.347912,0,0,0,0.0,0,0.0,0,2.5e-16,0,0,0,0,1.39e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,148.0,6.706414435,2.2188,1.4099,18,1,1,-0.238489,12.11474962,3.721066061,0,0
4.877147194,0,0.0,12.855155,0,0,0,0.0,0,0.0,0,-8.33e-17,0,0,0,0,-6.94e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1.212962963,0,0,0,0,0,0,0,0.0,127.0,5.319275766,8.927,0.0,12,0,0,-0.227315,0.0,3.61740898,0,0
0.0,0,6.9237372,14.292954,0,1,0,5.13155848,0,0.0,0,-1.11e-16,0,0,0,0,-9.25e-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5.13155848,92.0,4.517232704,4.7524,0.0,12,0,0,-0.234146,5.007623697,2.660633601,0,0
0.0,0,0.0,13.935305,0,0,0,0.0,0,0.0,0,1.53e-16,0,0,0,0,2.68e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,92.33333333,19.35,8.986,0.0,57,0,0,-0.239559,5.752853607,9.655790079,0,0
0.0,0,0.0,13.912307,0,0,0,0.0,0,0.0,0,8.33e-17,0,0,0,0,3.08e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,97.33333333,9.35,8.986,0.0,27,0,0,-0.239601,5.752853607,4.655790079,0,0
41.17300463,0,23.57916398,12.577593,0,0,0,5.783244946,0,0.0,0,4.44e-16,0,0,0,0,1.11e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,5.392146636,0,0,1,1,1,0,0,5.687386275,143.6666667,15.49396194,2.819,1.8834,40,0,0,-0.207153,24.1631233,8.477053779,1,0
0.0,0,6.9237372,14.004036,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,127.0,3.35,8.986,0.0,9,0,0,-0.241222,5.752853607,1.655790079,0,0
